iter	Passed	Remaining
0	0	262
1	1	250
2	3	350
3	4	342
4	5	304
5	5	277
6	6	258
7	6	244
8	7	232
9	7	223
10	8	215
11	8	209
12	9	204
13	9	199
14	10	194
15	10	190
16	11	187
17	11	184
18	12	181
19	12	178
20	13	176
21	13	173
22	14	171
23	14	171
24	15	170
25	17	187
26	18	186
27	19	184
28	19	182
29	20	180
30	20	178
31	21	176
32	21	175
33	22	173
34	22	172
35	23	170
36	23	169
37	24	167
38	24	166
39	25	164
40	25	163
41	26	161
42	26	160
43	27	159
44	27	157
45	28	156
46	28	155
47	29	154
48	29	153
49	30	151
50	31	155
51	32	156
52	33	156
53	34	155
54	34	153
55	35	152
56	35	151
57	36	150
58	36	149
59	37	148
60	37	147
61	38	146
62	38	145
63	39	144
64	39	143
65	40	142
66	40	141
67	41	140
68	41	139
69	42	138
70	42	137
71	43	136
72	43	136
73	44	135
74	44	134
75	46	137
76	47	138
77	48	138
78	49	137
79	49	136
80	50	135
81	50	134
82	51	133
83	51	132
84	52	131
85	52	130
86	53	129
87	53	129
88	54	128
89	54	127
90	55	126
91	55	125
92	56	124
93	56	123
94	57	123
95	57	122
96	58	121
97	58	120
98	59	119
99	60	121
100	61	121
101	61	120
102	62	119
103	63	118
104	63	118
105	64	117
106	64	116
107	65	115
108	65	115
109	66	114
110	66	113
111	67	112
112	67	112
113	68	111
114	68	110
115	69	109
116	69	109
117	70	108
118	70	107
119	71	106
120	71	106
121	72	105
122	72	104
123	73	104
124	74	103
125	75	104
126	76	103
127	77	103
128	77	102
129	78	102
130	78	101
131	79	100
132	79	99
133	80	99
134	80	98
135	81	97
136	81	96
137	82	96
138	82	95
139	83	94
140	83	94
141	84	93
142	84	92
143	85	92
144	85	91
145	86	90
146	86	90
147	87	89
148	87	88
149	88	88
150	89	88
151	91	88
152	91	88
153	92	87
154	93	87
155	93	86
156	94	85
157	94	85
158	95	84
159	95	83
160	96	82
161	96	82
162	97	81
163	97	80
164	98	80
165	98	79
166	99	78
167	99	78
168	100	77
169	100	76
170	101	76
171	101	75
172	102	74
173	103	75
174	104	74
175	104	73
176	105	73
177	105	72
178	106	71
179	106	71
180	107	70
181	108	70
182	108	69
183	109	68
184	109	68
185	110	67
186	110	66
187	111	66
188	111	65
189	112	64
190	112	64
191	113	63
192	113	62
193	114	62
194	114	61
195	115	61
196	115	60
197	116	59
198	116	59
199	117	58
200	118	58
201	119	58
202	120	57
203	120	56
204	121	56
205	121	55
206	122	54
207	122	54
208	123	53
209	123	53
210	124	52
211	124	51
212	125	51
213	125	50
214	126	49
215	126	49
216	127	48
217	127	48
218	128	47
219	128	46
220	129	46
221	129	45
222	130	45
223	131	44
224	132	44
225	133	43
226	134	43
227	135	42
228	135	42
229	136	41
230	136	40
231	137	40
232	137	39
233	138	38
234	138	38
235	139	37
236	139	37
237	140	36
238	140	35
239	141	35
240	141	34
241	142	34
242	142	33
243	143	32
244	143	32
245	144	31
246	144	31
247	144	30
248	145	29
249	147	29
250	147	28
251	148	28
252	148	27
253	149	27
254	149	26
255	150	25
256	150	25
257	151	24
258	151	24
259	152	23
260	152	22
261	153	22
262	153	21
263	154	21
264	154	20
265	155	19
266	155	19
267	156	18
268	156	18
269	157	17
270	157	16
271	158	16
272	158	15
273	159	15
274	159	14
275	161	14
276	162	13
277	163	12
278	163	12
279	164	11
280	164	11
281	165	10
282	165	9
283	166	9
284	166	8
285	167	8
286	167	7
287	168	7
288	168	6
289	169	5
290	169	5
291	170	4
292	170	4
293	171	3
294	171	2
295	172	2
296	172	1
297	173	1
298	173	0
299	174	0
