iter	RMSE
0	2506.796549
1	2405.091065
2	2311.73564
3	2214.779434
4	2145.998765
5	2056.769495
6	1994.788113
7	1916.299553
8	1849.263452
9	1775.793599
10	1685.305975
11	1637.363378
12	1587.579995
13	1539.370929
14	1485.387537
15	1438.38378
16	1375.911244
17	1328.688206
18	1287.260068
19	1235.109341
20	1199.111014
21	1162.042666
22	1134.656618
23	1095.482587
24	1047.042061
25	1028.882985
26	996.0016656
27	966.7592192
28	943.8854917
29	925.6951032
30	900.7162827
31	877.2098145
32	859.1956917
33	839.8073721
34	816.7943332
35	794.0730884
36	773.5437987
37	758.9355928
38	738.5402856
39	728.776546
40	713.5963313
41	698.4955564
42	683.1809948
43	671.5373922
44	660.293272
45	646.3545711
46	634.6350464
47	624.4232623
48	607.9293789
49	593.6873891
50	582.4819814
51	574.6427236
52	563.1787782
53	554.6062528
54	547.0805063
55	534.8437208
56	528.4029255
57	521.2939422
58	511.0161967
59	507.3363391
60	498.9717507
61	492.1813192
62	488.7377829
63	484.0772343
64	477.4573165
65	471.4843323
66	468.0700339
67	464.7346849
68	459.9837544
69	456.720526
70	451.7690421
71	445.723795
72	439.1368755
73	436.242016
74	429.2358554
75	422.3963765
76	419.7491247
77	417.1736449
78	413.7987226
79	407.214619
80	404.0390746
81	395.4745171
82	393.198198
83	390.0529412
84	382.260113
85	379.4359976
86	371.7088538
87	369.6934224
88	366.9317375
89	364.6889998
90	362.5072404
91	356.0360596
92	353.9552503
93	351.9325151
94	348.8149546
95	345.6170309
96	343.7313327
97	342.0548918
98	335.5787659
99	333.4553167
100	329.2794438
101	325.2594062
102	323.2870119
103	319.4631662
104	315.5248738
105	311.9859097
106	310.1939332
107	306.8437556
108	305.1461992
109	299.82287
110	293.3180309
111	291.348959
112	285.2147286
113	282.3032875
114	280.4267343
115	277.6902779
116	273.0267521
117	271.573803
118	270.1690748
119	263.9151254
120	262.5356976
121	258.5887002
122	257.2839481
123	254.8158989
124	249.3098415
125	247.0170747
126	245.7813128
127	244.5960906
128	239.8885048
129	238.7395042
130	237.6326375
131	236.5660094
132	235.5334836
133	232.1526021
134	231.1637988
135	229.7535516
136	228.8243509
137	223.4257321
138	222.6286262
139	221.7242222
140	220.9684677
141	220.1135229
142	215.1922351
143	214.4729859
144	213.6665297
145	212.48005
146	211.8061481
147	207.1581726
148	206.5117032
149	203.4584838
150	200.5418487
151	198.1176212
152	197.2221454
153	196.6186131
154	193.4456305
155	190.0838599
156	189.3582633
157	188.6542864
158	188.0522776
159	187.4140556
160	184.3409311
161	181.7391912
162	181.0717034
163	180.4225938
164	179.8978302
165	179.2677531
166	176.8005022
167	176.1865153
168	175.4532119
169	172.6873383
170	170.0138295
171	169.5275308
172	168.9477447
173	168.4655987
174	167.9051728
175	165.0956511
176	164.6324097
177	164.1825586
178	163.597474
179	163.054416
180	160.4787084
181	160.0447892
182	159.517749
183	158.9711122
184	158.2211472
185	155.8833278
186	153.0820686
187	152.6844198
188	152.29326
189	151.7208323
190	151.2283558
191	149.0261165
192	148.6477611
193	148.2786719
194	147.8087663
195	145.7824869
196	145.4187331
197	144.8553171
198	144.4046094
199	144.0537567
200	143.6046438
201	143.2641473
202	142.8615821
203	141.4966879
204	141.1636769
205	140.7259271
206	140.2189844
207	139.9006319
208	138.8061977
209	138.388523
210	138.0647763
211	136.7944878
212	136.3837542
213	136.0737515
214	135.6754741
215	133.9431565
216	133.6430756
217	133.3508954
218	132.7104267
219	132.378326
220	131.3981128
221	131.1084815
222	129.7294277
223	129.4403497
224	128.8311869
225	128.5524669
226	126.8884212
227	126.3043496
228	125.0502958
229	124.6328905
230	124.0342463
231	123.7440035
232	123.4464925
233	121.5638168
234	120.7391689
235	120.3552245
236	120.0761978
237	119.0504476
238	118.79643
239	118.20904
240	117.2471201
241	116.3696894
242	116.1295186
243	115.8961537
244	113.7563496
245	113.513765
246	113.2866598
247	113.0545677
248	111.0169271
249	110.3300789
250	110.0862865
251	109.8499339
252	108.2095457
253	107.9902926
254	107.5800814
255	105.6873203
256	104.5940357
257	104.3835849
258	104.1792153
259	102.4822978
260	102.2815452
261	102.0498902
262	101.6673879
263	99.93852889
264	99.34971649
265	99.1045542
266	98.05225855
267	97.84364366
268	96.8574583
269	96.12074854
270	94.61102133
271	94.40620891
272	94.20748658
273	93.9854532
274	93.45638193
275	93.08983175
276	92.77637594
277	92.38093341
278	92.16888442
279	91.10935226
280	90.47976415
281	89.86224324
282	89.64547257
283	89.45578749
284	89.13752335
285	88.95302934
286	88.30403615
287	87.46944748
288	87.28356788
289	87.12563162
290	86.97182551
291	86.78592038
292	86.44615611
293	85.89591531
294	84.33436789
295	84.16118478
296	83.99194358
297	83.83101665
298	82.69916145
299	82.53633965
