iter	Passed	Remaining
0	150	44853
1	150	22450
2	151	14973
3	151	11235
4	152	8995
5	153	7498
6	153	6429
7	154	5626
8	154	5001
9	155	4507
10	155	4098
11	156	3756
12	157	3467
13	157	3220
14	158	3005
15	159	2826
16	160	2665
17	161	2525
18	161	2394
19	162	2278
20	163	2171
21	164	2073
22	164	1984
23	165	1903
24	166	1827
25	166	1757
26	167	1692
27	168	1634
28	169	1580
29	170	1531
30	170	1482
31	171	1435
32	173	1401
33	175	1374
34	176	1337
35	177	1300
36	177	1264
37	178	1231
38	179	1199
39	179	1168
40	180	1139
41	181	1112
42	181	1086
43	182	1061
44	182	1036
45	183	1013
46	184	991
47	184	969
48	185	950
49	186	934
50	188	919
51	189	904
52	190	888
53	191	872
54	192	856
55	192	840
56	193	824
57	194	810
58	194	796
59	195	782
60	196	768
61	196	755
62	197	742
63	197	729
64	198	717
65	199	706
66	200	696
67	201	688
68	202	678
69	203	667
70	203	657
71	204	647
72	205	637
73	205	627
74	206	619
75	207	611
76	208	602
77	208	594
78	209	585
79	210	577
80	210	569
81	211	561
82	211	553
83	212	546
84	213	539
85	214	533
86	215	527
87	216	521
88	217	514
89	217	508
90	218	501
91	218	495
92	219	488
93	220	482
94	221	476
95	221	471
96	222	465
97	223	460
98	223	454
99	224	449
100	225	443
101	225	438
102	226	433
103	227	429
104	229	425
105	230	422
106	231	417
107	232	412
108	232	407
109	233	403
110	234	399
111	235	394
112	236	390
113	236	386
114	237	382
115	238	378
116	239	373
117	239	369
118	240	365
119	242	363
120	243	359
121	244	356
122	245	352
123	245	348
124	246	345
125	247	341
126	247	337
127	248	333
128	249	330
129	249	326
130	250	323
131	251	319
132	251	316
133	252	312
134	253	309
135	253	305
136	254	302
137	255	299
138	256	296
139	257	293
140	258	291
141	258	288
142	259	285
143	260	282
144	261	279
145	261	276
146	262	273
147	263	270
148	264	267
149	264	264
150	265	261
151	266	259
152	266	256
153	267	253
154	268	250
155	269	248
156	270	245
157	271	243
158	272	241
159	273	239
160	273	236
161	274	233
162	275	231
163	276	228
164	277	226
165	277	224
166	278	221
167	279	219
168	279	216
169	280	214
170	281	212
171	281	209
172	282	207
173	283	205
174	285	203
175	286	201
176	287	199
177	288	197
178	289	195
179	290	193
180	290	191
181	291	188
182	292	186
183	292	184
184	293	182
185	294	180
186	295	178
187	296	176
188	296	174
189	297	172
190	299	170
191	300	169
192	301	167
193	302	165
194	303	163
195	304	161
196	305	159
197	305	157
198	306	155
199	307	153
200	308	151
201	308	149
202	309	148
203	310	146
204	311	144
205	312	142
206	313	140
207	315	139
208	316	137
209	317	136
210	318	134
211	319	132
212	319	130
213	320	128
214	321	127
215	322	125
216	323	123
217	324	121
218	324	120
219	325	118
220	326	116
221	327	115
222	329	113
223	330	112
224	331	110
225	331	108
226	332	106
227	333	105
228	334	103
229	334	101
230	335	100
231	336	98
232	337	97
233	338	95
234	338	93
235	339	92
236	340	90
237	342	89
238	343	87
239	344	86
240	345	84
241	346	82
242	347	81
243	347	79
244	348	78
245	349	76
246	350	75
247	351	73
248	352	72
249	352	70
250	353	69
251	354	67
252	356	66
253	358	64
254	358	63
255	359	61
256	360	60
257	361	58
258	362	57
259	362	55
260	363	54
261	364	52
262	365	51
263	366	49
264	366	48
265	367	47
266	368	45
267	370	44
268	371	42
269	373	41
270	374	40
271	375	38
272	375	37
273	376	35
274	377	34
275	378	32
276	378	31
277	379	30
278	380	28
279	381	27
280	382	25
281	383	24
282	384	23
283	386	21
284	386	20
285	387	18
286	388	17
287	389	16
288	390	14
289	391	13
290	392	12
291	392	10
292	393	9
293	394	8
294	395	6
295	395	5
296	396	4
297	398	2
298	400	1
299	401	0
