iter	Passed	Remaining
0	158	47311
1	159	23799
2	160	15920
3	162	11993
4	163	9636
5	164	8061
6	165	6934
7	166	6078
8	167	5427
9	168	4899
10	170	4473
11	171	4114
12	172	3809
13	173	3543
14	174	3316
15	175	3117
16	176	2942
17	177	2788
18	178	2635
19	178	2504
20	180	2397
21	181	2291
22	183	2205
23	184	2121
24	185	2039
25	186	1965
26	187	1897
27	188	1834
28	189	1775
29	191	1719
30	191	1663
31	192	1611
32	194	1570
33	194	1524
34	196	1485
35	197	1446
36	198	1407
37	198	1371
38	199	1337
39	201	1306
40	202	1276
41	202	1246
42	204	1219
43	204	1190
44	205	1162
45	205	1136
46	207	1114
47	207	1091
48	209	1072
49	210	1052
50	211	1030
51	211	1009
52	212	990
53	213	971
54	213	952
55	214	934
56	215	917
57	215	900
58	216	883
59	217	868
60	217	853
61	218	838
62	219	824
63	219	810
64	221	799
65	221	785
66	222	774
67	223	762
68	223	749
69	224	737
70	224	725
71	225	714
72	226	703
73	226	692
74	227	681
75	227	670
76	228	660
77	228	650
78	229	640
79	229	631
80	229	621
81	230	612
82	230	603
83	231	595
84	231	586
85	232	578
86	232	570
87	233	562
88	233	554
89	234	547
90	235	540
91	236	534
92	237	528
93	237	521
94	238	514
95	238	507
96	239	500
97	239	494
98	240	487
99	240	481
100	241	475
101	241	469
102	242	463
103	242	457
104	243	451
105	243	445
106	244	440
107	244	434
108	245	429
109	245	424
110	246	418
111	246	413
112	247	408
113	247	403
114	248	399
115	249	395
116	249	390
117	250	386
118	251	382
119	251	377
120	252	373
121	252	368
122	253	364
123	253	360
124	254	355
125	254	351
126	255	347
127	255	343
128	256	339
129	256	335
130	257	331
131	257	327
132	258	324
133	258	320
134	259	316
135	259	312
136	259	309
137	260	305
138	260	302
139	261	298
140	261	295
141	262	292
142	264	289
143	264	286
144	265	284
145	266	280
146	266	277
147	267	274
148	267	271
149	268	268
150	268	265
151	269	262
152	269	259
153	270	256
154	270	253
155	271	250
156	271	247
157	272	244
158	272	241
159	273	238
160	273	236
161	273	233
162	274	230
163	274	228
164	275	225
165	275	222
166	276	220
167	278	218
168	279	216
169	280	214
170	280	211
171	281	209
172	281	206
173	282	204
174	283	202
175	283	200
176	284	197
177	285	195
178	285	193
179	286	190
180	286	188
181	287	186
182	287	183
183	288	181
184	288	179
185	289	177
186	289	174
187	289	172
188	290	170
189	291	168
190	292	166
191	293	165
192	294	163
193	294	161
194	295	159
195	295	156
196	296	154
197	296	152
198	297	150
199	297	148
200	298	147
201	299	145
202	299	143
203	300	141
204	300	139
205	300	137
206	301	135
207	301	133
208	302	131
209	302	129
210	303	127
211	303	126
212	304	124
213	304	122
214	305	120
215	306	119
216	307	117
217	308	116
218	308	114
219	309	112
220	309	110
221	310	109
222	310	107
223	311	105
224	311	103
225	312	102
226	312	100
227	313	98
228	313	97
229	314	95
230	314	93
231	315	92
232	315	90
233	316	89
234	316	87
235	317	85
236	317	84
237	318	82
238	318	81
239	319	79
240	320	78
241	321	76
242	322	75
243	322	74
244	323	72
245	323	71
246	324	69
247	324	68
248	325	66
249	325	65
250	326	63
251	326	62
252	327	60
253	327	59
254	328	57
255	328	56
256	329	55
257	329	53
258	330	52
259	330	50
260	331	49
261	331	48
262	332	46
263	332	45
264	333	43
265	334	42
266	334	41
267	335	40
268	336	38
269	337	37
270	337	36
271	338	34
272	338	33
273	339	32
274	339	30
275	340	29
276	340	28
277	340	26
278	341	25
279	341	24
280	342	23
281	342	21
282	343	20
283	343	19
284	344	18
285	344	16
286	345	15
287	345	14
288	346	13
289	346	11
290	347	10
291	348	9
292	348	8
293	350	7
294	350	5
295	351	4
296	351	3
297	352	2
298	352	1
299	353	0
