iter	RMSE
0	8.059827481
1	7.524412647
2	7.015017892
3	6.537198343
4	6.139422517
5	5.753427137
6	5.395165938
7	5.069000219
8	4.792333938
9	4.510289316
10	4.270484443
11	4.063897114
12	3.879065012
13	3.717961988
14	3.568011418
15	3.428659668
16	3.300942715
17	3.197920632
18	3.103318017
19	3.009012885
20	2.92725537
21	2.852971649
22	2.792511166
23	2.729911313
24	2.66828346
25	2.620639742
26	2.569618621
27	2.526651777
28	2.492554775
29	2.461356862
30	2.428074078
31	2.397145507
32	2.371014494
33	2.345108333
34	2.323687006
35	2.305699945
36	2.28225922
37	2.266219773
38	2.249970792
39	2.218928944
40	2.20210299
41	2.189806561
42	2.171699711
43	2.159515106
44	2.149183164
45	2.143286192
46	2.127483752
47	2.115655827
48	2.097791956
49	2.08210041
50	2.069771994
51	2.064872462
52	2.056685218
53	2.035239777
54	2.027610361
55	2.010694716
56	1.999370562
57	1.991040732
58	1.987470485
59	1.981866028
60	1.974110822
61	1.969430184
62	1.958676297
63	1.947800715
64	1.943921236
65	1.936008724
66	1.929737184
67	1.922050532
68	1.902409884
69	1.896923115
70	1.888375017
71	1.881931384
72	1.877862973
73	1.863439228
74	1.852364872
75	1.849833226
76	1.846170289
77	1.837776722
78	1.83212776
79	1.814620297
80	1.811777381
81	1.806574869
82	1.801233716
83	1.798034209
84	1.793716622
85	1.78844467
86	1.772520076
87	1.752909528
88	1.746183353
89	1.728823251
90	1.715114487
91	1.704148774
92	1.699312675
93	1.697192168
94	1.678177386
95	1.67452911
96	1.668863044
97	1.655102185
98	1.636338312
99	1.630230907
100	1.616202949
101	1.602313214
102	1.599159442
103	1.579944206
104	1.578049442
105	1.576175266
106	1.564498918
107	1.552842177
108	1.550488011
109	1.548278048
110	1.546573309
111	1.536230597
112	1.523437045
113	1.513675029
114	1.504010945
115	1.493164906
116	1.480964294
117	1.466007022
118	1.45097371
119	1.449251932
120	1.440068621
121	1.438666571
122	1.434777624
123	1.428286608
124	1.418213951
125	1.406672056
126	1.398217771
127	1.384640117
128	1.380335527
129	1.369359621
130	1.367872083
131	1.366471247
132	1.35741025
133	1.347936723
134	1.343744619
135	1.340437884
136	1.326524544
137	1.31553586
138	1.304123487
139	1.295978134
140	1.287987518
141	1.286887752
142	1.285899248
143	1.275414848
144	1.274396096
145	1.265261876
146	1.260893401
147	1.258120578
148	1.2488828
149	1.245693834
150	1.242720722
151	1.240279465
152	1.237517927
153	1.235528019
154	1.234641994
155	1.2281361
156	1.219631633
157	1.21462584
158	1.205121957
159	1.197227668
160	1.189754391
161	1.186892757
162	1.184303062
163	1.172575827
164	1.171281571
165	1.16143517
166	1.151145417
167	1.143337665
168	1.136074128
169	1.126416406
170	1.120203124
171	1.113312221
172	1.11144838
173	1.109005536
174	1.104180268
175	1.094789227
176	1.091824705
177	1.084581569
178	1.077679765
179	1.071032418
180	1.066209691
181	1.058944926
182	1.051995719
183	1.046348088
184	1.042630748
185	1.038267216
186	1.033101431
187	1.031778446
188	1.031016535
189	1.022258225
190	1.01283472
191	1.003449337
192	0.9964649011
193	0.9946877978
194	0.9937006779
195	0.9873988566
196	0.9861855704
197	0.9820846483
198	0.9771058894
199	0.9701910015
200	0.9637901373
201	0.9569024366
202	0.9541079097
203	0.9517483364
204	0.9493670243
205	0.9480140654
206	0.9427415175
207	0.9418690932
208	0.9344009839
209	0.9296873828
210	0.9221908656
211	0.9200550951
212	0.9142111067
213	0.9114551711
214	0.9048519155
215	0.8998099035
216	0.8933590818
217	0.8888393962
218	0.8819476488
219	0.8796009262
220	0.8786921536
221	0.8700405778
222	0.8651464166
223	0.8645014157
224	0.8629953245
225	0.8564970436
226	0.8532215834
227	0.84860875
228	0.8462745313
229	0.8396195046
230	0.8339448162
231	0.8330788522
232	0.8317486226
233	0.8277168023
234	0.8258208055
235	0.8231873423
236	0.8195206105
237	0.8162857605
238	0.8070294198
239	0.8023266877
240	0.7993017751
241	0.794772122
242	0.7902675654
243	0.7891407702
244	0.7870165462
245	0.7861779995
246	0.7803741544
247	0.7769399253
248	0.7749945862
249	0.7741170482
250	0.7683456252
251	0.7675305619
252	0.7617750291
253	0.7610230147
254	0.7574295973
255	0.753818602
256	0.7482969568
257	0.7431231236
258	0.7406845713
259	0.7353575786
260	0.7346497597
261	0.7298428284
262	0.728502329
263	0.7272869776
264	0.7205073332
265	0.7169319369
266	0.711829638
267	0.7108898415
268	0.7098861584
269	0.7062635919
270	0.701711864
271	0.697097009
272	0.6922727917
273	0.686590585
274	0.6824005118
275	0.6809541996
276	0.6777544747
277	0.6728105407
278	0.6680551622
279	0.6647387583
280	0.6618147321
281	0.6595554161
282	0.6586934727
283	0.6549474611
284	0.6502600345
285	0.6458709253
286	0.6434033741
287	0.6407924975
288	0.6393644207
289	0.6387636337
290	0.6354771986
291	0.6350283233
292	0.629925674
293	0.6293768783
294	0.6287412907
295	0.626659872
296	0.6221369866
297	0.6187150965
298	0.6142797097
299	0.6115703616
