iter	Passed	Remaining
0	139	41667
1	140	20888
2	141	13971
3	141	10505
4	142	8431
5	143	7046
6	144	6048
7	145	5313
8	146	4750
9	148	4297
10	151	3977
11	153	3673
12	154	3405
13	155	3173
14	156	2972
15	157	2795
16	158	2634
17	158	2490
18	159	2362
19	160	2247
20	161	2143
21	162	2047
22	164	1978
23	165	1908
24	167	1844
25	169	1785
26	170	1720
27	170	1660
28	171	1606
29	172	1554
30	173	1505
31	174	1459
32	175	1416
33	175	1375
34	178	1347
35	180	1320
36	181	1286
37	182	1255
38	182	1224
39	183	1193
40	184	1164
41	184	1136
42	185	1109
43	186	1084
44	187	1059
45	187	1036
46	188	1014
47	189	992
48	189	972
49	191	958
50	193	945
51	194	927
52	195	909
53	195	892
54	196	875
55	197	859
56	197	843
57	198	828
58	199	813
59	199	799
60	200	785
61	201	771
62	201	758
63	202	746
64	203	734
65	203	722
66	204	710
67	205	699
68	208	699
69	209	689
70	210	679
71	211	669
72	212	659
73	212	650
74	213	641
75	214	632
76	215	623
77	216	614
78	216	606
79	217	598
80	218	590
81	219	583
82	220	575
83	222	571
84	223	566
85	224	559
86	225	552
87	226	545
88	227	538
89	227	531
90	228	525
91	229	518
92	229	511
93	230	505
94	231	499
95	231	492
96	232	486
97	233	480
98	234	475
99	234	469
100	236	466
101	238	462
102	239	457
103	240	452
104	240	446
105	241	441
106	241	436
107	242	431
108	243	426
109	243	421
110	244	416
111	245	411
112	245	406
113	246	402
114	247	397
115	247	393
116	248	388
117	249	384
118	249	380
119	251	377
120	253	375
121	254	370
122	254	366
123	255	362
124	256	358
125	257	354
126	257	351
127	258	347
128	259	343
129	259	339
130	260	336
131	261	332
132	261	328
133	262	325
134	263	321
135	263	318
136	266	317
137	269	315
138	270	312
139	270	309
140	271	306
141	272	303
142	274	301
143	275	298
144	276	295
145	276	292
146	277	289
147	278	285
148	279	282
149	281	281
150	283	279
151	284	276
152	284	273
153	285	271
154	286	268
155	287	265
156	288	262
157	289	259
158	289	256
159	290	254
160	291	251
161	291	248
162	292	245
163	293	243
164	293	240
165	294	237
166	297	236
167	298	234
168	299	231
169	299	229
170	300	226
171	301	224
172	302	221
173	302	219
174	303	216
175	304	214
176	304	211
177	305	209
178	306	207
179	306	204
180	307	202
181	308	199
182	309	197
183	311	196
184	312	194
185	313	192
186	314	189
187	314	187
188	315	185
189	316	183
190	316	180
191	317	178
192	318	176
193	319	174
194	319	172
195	320	170
196	321	167
197	321	165
198	322	163
199	323	161
200	323	159
201	328	159
202	329	157
203	330	155
204	331	153
205	331	151
206	332	149
207	333	147
208	334	145
209	334	143
210	335	141
211	336	139
212	337	137
213	338	135
214	339	134
215	341	132
216	342	131
217	343	129
218	344	127
219	345	125
220	347	124
221	349	122
222	350	121
223	351	119
224	351	117
225	352	115
226	353	113
227	354	111
228	356	110
229	358	109
230	360	107
231	361	105
232	361	104
233	362	102
234	363	100
235	364	98
236	364	96
237	365	95
238	366	93
239	366	91
240	367	89
241	368	88
242	369	86
243	371	85
244	372	83
245	373	82
246	374	80
247	375	78
248	375	76
249	376	75
250	377	73
251	377	71
252	378	70
253	379	68
254	379	67
255	380	65
256	381	63
257	381	62
258	382	60
259	385	59
260	387	57
261	388	56
262	388	54
263	389	53
264	390	51
265	390	49
266	391	48
267	392	46
268	393	45
269	393	43
270	394	42
271	395	40
272	396	39
273	396	37
274	397	36
275	401	34
276	402	33
277	403	31
278	404	30
279	404	28
280	406	27
281	407	25
282	407	24
283	408	23
284	409	21
285	409	20
286	410	18
287	411	17
288	411	15
289	412	14
290	414	12
291	416	11
292	417	9
293	417	8
294	418	7
295	419	5
296	419	4
297	420	2
298	421	1
299	421	0
